Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2023-01-03,124.26531219482422,125.88911425599625,121.81467439246649,122.35262038815891,35528500
2023-01-04,126.88530731201172,128.55891452257782,125.37108728321493,126.89526378562374,32397100
2023-01-05,126.45694732666016,128.03093664825272,124.06607872176893,125.65002451728778,25447100
2023-01-06,129.5252227783203,129.83404066417,125.56036502931565,128.47921543538982,27584500
2023-01-09,128.97732543945312,132.4440786428735,128.7880460195992,130.66089686776536,26649100
2023-01-10,132.48391723632812,132.93220173880965,126.66613717539411,126.78567565586323,28684400
2023-01-11,132.38430786132812,133.3406614239833,129.84400843622686,130.46165946239498,25423000
2023-01-12,136.18975830078125,137.15605299188397,131.25858331025935,132.93219799328253,30757700
2023-01-13,136.45872497558594,136.86716838857924,134.3268692501645,134.45637940568005,22423800
2023-01-17,134.8448944091797,136.22960422065137,133.73911785464313,135.66176603285473,21147600
2023-01-18,132.51380920410156,136.72770808223686,132.29464517727436,135.29318543417637,20215500
2023-01-19,135.63189697265625,136.9269530716981,131.63716185554998,131.98583606708118,28625200
2023-01-20,138.83963012695312,139.40746831908078,134.09774952216625,135.37287733523033,28688600
2023-01-23,142.72479248046875,143.21291806456261,138.13233515635227,138.75992736457613,27470100
2023-01-24,142.5952911376953,144.44821365886554,140.82206600676847,141.15081204125124,21970200
2023-01-25,140.96153259277344,142.6251757116544,139.7760586144712,140.6825993273756,26622000
2023-01-26,146.73948669433594,146.94867907512315,142.7547077763674,143.8505128583736,25482100
2023-01-27,151.16256713867188,152.60704620223302,146.82911474726586,147.6758861986927,35771900
2023-01-30,146.5003662109375,150.54491359992076,146.3907842038148,148.8414294536851,28040100
2023-01-31,148.40310668945312,149.3096473986509,146.95862759939413,147.38698396924548,29842100
2023-02-01,152.5373077392578,152.9955639299113,146.50037107538898,147.46668102463244,55661000
2023-02-02,188.05165100097656,196.40972273595057,179.4744152471485,182.68216294049705,150475700
2023-02-03,185.82017517089844,196.0212132180927,182.1940274808063,182.7718221655827,76809700
